Municipality,Cases,Hospitalization,Deaths,Population,Cases per 100k,Hospitalization per 100k,Deaths per 100k
s-Hertogenbosch,422,123,65,155113,272.1,79.3,41.9
Aa en Hunze,14,1,0,25453,55,3.9,0
Aalsmeer,37,8,2,31857,116.1,25.1,6.3
Aalten,51,6,5,27117,188.1,22.1,18.4
Achtkarspelen,10,0,0,27836,35.9,0,0
Alblasserdam,39,9,1,20165,193.4,44.6,5
Albrandswaard,82,10,7,25589,320.5,39.1,27.4
Alkmaar,212,52,22,109444,193.7,47.5,20.1
Almelo,88,21,6,73080,120.4,28.7,8.2
Almere,306,113,11,211840,144.4,53.3,5.2
Alphen aan den Rijn,157,57,20,111889,140.3,50.9,17.9
Alphen-Chaam,45,17,5,10213,440.6,166.5,49
Altena,113,30,11,55980,201.9,53.6,19.6
Ameland,0,0,0,3718,0,0,0
Amersfoort,158,56,21,157279,100.5,35.6,13.4
Amstelveen,285,55,33,91691,310.8,60,36
Amsterdam,1778,533,157,872779,203.7,61.1,18
Apeldoorn,340,62,38,163829,207.5,37.8,23.2
Appingedam,5,3,0,11644,42.9,25.8,0
Arnhem,239,58,21,161368,148.1,35.9,13
Assen,38,12,2,68606,55.4,17.5,2.9
Asten,68,15,9,16734,406.4,89.6,53.8
Baarle-Nassau,5,1,0,6860,72.9,14.6,0
Baarn,45,11,6,24873,180.9,44.2,24.1
Barendrecht,103,31,10,48713,211.4,63.6,20.5
Barneveld,102,18,6,59077,172.7,30.5,10.2
Beek,40,15,3,15868,252.1,94.5,18.9
Beekdaelen,138,45,20,35976,383.6,125.1,55.6
Beemster,9,4,1,10025,89.8,39.9,10
Beesel,41,20,8,13483,304.1,148.3,59.3
Berg en Dal,164,32,15,34990,468.7,91.5,42.9
Bergeijk,48,16,4,18638,257.5,85.8,21.5
Bergen (L.),20,7,2,13085,152.8,53.5,15.3
Bergen (NH.),50,16,3,29844,167.5,53.6,10.1
Bergen op Zoom,96,21,8,67489,142.2,31.1,11.9
Berkelland,65,6,6,43748,148.6,13.7,13.7
Bernheze,252,93,57,31247,806.5,297.6,182.4
Best,58,31,10,29985,193.4,103.4,33.4
Beuningen,59,19,4,25891,227.9,73.4,15.4
Beverwijk,68,15,6,41613,163.4,36,14.4
Bladel,53,18,7,20395,259.9,88.3,34.3
Blaricum,24,7,0,11536,208,60.7,0
Bloemendaal,41,6,3,23570,173.9,25.5,12.7
Bodegraven-Reeuwijk,45,7,2,34869,129.1,20.1,5.7
Boekel,88,35,21,10784,816,324.6,194.7
Borger-Odoorn,8,3,3,25558,31.3,11.7,11.7
Borne,46,14,6,23313,197.3,60.1,25.7
Borsele,22,5,0,22738,96.8,22,0
Boxmeer,104,18,19,29371,354.1,61.3,64.7
Boxtel,58,22,12,30803,188.3,71.4,39
Breda,433,142,55,184271,235,77.1,29.8
Brielle,28,11,0,17282,162,63.7,0
Bronckhorst,61,13,5,36052,169.2,36.1,13.9
Brummen,36,18,7,20756,173.4,86.7,33.7
Brunssum,79,38,13,27817,284,136.6,46.7
Bunnik,31,7,1,15191,204.1,46.1,6.6
Bunschoten,53,9,6,21867,242.4,41.2,27.4
Buren,39,14,6,26742,145.8,52.4,22.4
Capelle aan den IJssel,244,44,41,67151,363.4,65.5,61.1
Castricum,72,14,9,35988,200.1,38.9,25
Coevorden,54,12,1,35296,153,34,2.8
Cranendonck,160,60,32,21166,755.9,283.5,151.2
Cuijk,64,11,9,25139,254.6,43.8,35.8
Culemborg,54,21,7,28956,186.5,72.5,24.2
Dalfsen,74,15,6,28585,258.9,52.5,21
Dantumadiel,6,2,0,18916,31.7,10.6,0
De Bilt,116,25,10,43124,269,58,23.2
De Fryske Marren,54,14,5,51567,104.7,27.1,9.7
De Ronde Venen,79,38,10,44457,177.7,85.5,22.5
De Wolden,40,11,0,24327,164.4,45.2,0
Delft,117,38,9,103659,112.9,36.7,8.7
Delfzijl,16,5,0,24666,64.9,20.3,0
Den Helder,30,8,0,56305,53.3,14.2,0
Deurne,137,51,17,32474,421.9,157,52.3
Deventer,200,42,29,100718,198.6,41.7,28.8
Diemen,80,16,9,30781,259.9,52,29.2
Dinkelland,69,17,7,26470,260.7,64.2,26.4
Doesburg,24,7,6,11078,216.6,63.2,54.2
Doetinchem,85,16,14,58009,146.5,27.6,24.1
Dongen,70,18,10,26226,266.9,68.6,38.1
Dordrecht,247,78,22,119300,207,65.4,18.4
Drechterland,42,4,8,19717,213,20.3,40.6
Drimmelen,60,18,6,27274,220,66,22
Dronten,101,27,11,41569,243,65,26.5
Druten,107,23,8,18918,565.6,121.6,42.3
Duiven,40,13,4,25124,159.2,51.7,15.9
Echt-Susteren,81,38,15,31618,256.2,120.2,47.4
Edam-Volendam,76,21,3,36201,209.9,58,8.3
Ede,182,53,19,117166,155.3,45.2,16.2
Eemnes,14,2,1,9247,151.4,21.6,10.8
Eersel,58,22,9,19314,300.3,113.9,46.6
Eijsden-Margraten,141,51,22,25753,547.5,198,85.4
Eindhoven,422,156,69,234456,180,66.5,29.4
Elburg,109,21,7,23161,470.6,90.7,30.2
Emmen,92,20,10,107055,85.9,18.7,9.3
Enkhuizen,29,18,4,18592,156,96.8,21.5
Enschede,175,51,16,159734,109.6,31.9,10
Epe,120,33,18,33186,361.6,99.4,54.2
Ermelo,98,23,13,27005,362.9,85.2,48.1
Etten-Leur,155,40,26,43880,353.2,91.2,59.3
Geertruidenberg,39,11,6,21538,181.1,51.1,27.9
Geldrop-Mierlo,94,26,14,39733,236.6,65.4,35.2
Gemert-Bakel,163,72,29,30725,530.5,234.3,94.4
Gennep,51,16,10,16924,301.3,94.5,59.1
Gilze en Rijen,71,18,12,26438,268.6,68.1,45.4
Goeree-Overflakkee,244,53,28,50049,487.5,105.9,55.9
Goes,69,11,9,38080,181.2,28.9,23.6
