Municipality	Hospitalization	Hospitalization/100K	Cases	Cases/100k
s-Hertogenbosch	102	65.8	259	167
Aa en Hunze	1	3.9	8	31.4
Aalsmeer	8	25.1	27	84.8
Aalten	1	3.7	21	77.4
Achtkarspelen	0	0	5	18
Alblasserdam	8	39.7	21	104.1
Albrandswaard	7	27.4	49	191.5
Alkmaar	42	38.4	142	129.7
Almelo	18	24.6	59	80.7
Almere	88	41.5	146	68.9
Alphen aan den Rijn	46	41.1	85	76
Alphen-Chaam	15	146.9	39	381.9
Altena	24	42.9	74	132.2
Ameland	0	0	0	0
Amersfoort	47	29.9	105	66.8
Amstelveen	40	43.6	179	195.2
Amsterdam	346	39.6	1071	122.7
Apeldoorn	34	20.8	138	84.2
Appingedam	2	17.2	2	17.2
Arnhem	49	30.4	124	76.8
Assen	10	14.6	27	39.4
Asten	9	53.8	33	197.2
Baarle-Nassau	1	14.6	4	58.3
Baarn	7	28.1	23	92.5
Barendrecht	27	55.4	60	123.2
Barneveld	11	18.6	58	98.2
Beek	12	75.6	24	151.2
Beekdaelen	37	102.8	62	172.3
Beemster	4	39.9	8	79.8
Beesel	16	118.7	27	200.3
Berg en Dal	27	77.2	109	311.5
Bergeijk	9	48.3	32	171.7
Bergen (L.)	5	38.2	10	76.4
Bergen (NH.)	16	53.6	40	134
Bergen op Zoom	17	25.2	48	71.1
Berkelland	2	4.6	22	50.3
Bernheze	76	243.2	179	572.9
Best	25	83.4	45	150.1
Beuningen	17	65.7	36	139
Beverwijk	11	26.4	52	125
Bladel	13	63.7	36	176.5
Blaricum	5	43.3	13	112.7
Bloemendaal	5	21.2	35	148.5
Bodegraven-Reeuwijk	7	20.1	23	66
Boekel	29	268.9	74	686.2
Borger-Odoorn	2	7.8	3	11.7
Borne	13	55.8	38	163
Borsele	4	17.6	15	66
Boxmeer	17	57.9	56	190.7
Boxtel	16	51.9	38	123.4
Breda	134	72.7	339	184
Brielle	10	57.9	22	127.3
Bronckhorst	4	11.1	22	61
Brummen	8	38.5	19	91.5
Brunssum	29	104.3	46	165.4
Bunnik	7	46.1	19	125.1
Bunschoten	4	18.3	22	100.6
Buren	7	26.2	20	74.8
Capelle aan den IJssel	28	41.7	130	193.6
Castricum	13	36.1	50	138.9
Coevorden	9	25.5	34	96.3
Cranendonck	48	226.8	98	463
Cuijk	9	35.8	34	135.2
Culemborg	20	69.1	37	127.8
Dalfsen	15	52.5	46	160.9
Dantumadiel	2	10.6	6	31.7
De Bilt	19	44.1	72	167
De Fryske Marren	13	25.2	37	71.8
De Ronde Venen	24	54	52	117
De Wolden	7	28.8	21	86.3
Delft	35	33.8	74	71.4
Delfzijl	5	20.3	13	52.7
Den Helder	8	14.2	20	35.5
Deurne	46	141.7	98	301.8
Deventer	32	31.8	102	101.3
Diemen	4	13	19	61.7
Dinkelland	17	64.2	57	215.3
Doesburg	4	36.1	12	108.3
Doetinchem	9	15.5	46	79.3
Dongen	15	57.2	48	183
Dordrecht	60	50.3	134	112.3
Drechterland	2	10.1	28	142
Drimmelen	16	58.7	38	139.3
Dronten	19	45.7	42	101
Druten	19	100.4	51	269.6
Duiven	9	35.8	25	99.5
Echt-Susteren	33	104.4	56	177.1
Edam-Volendam	18	49.7	37	102.2
Ede	47	40.1	110	93.9
Eemnes	1	10.8	8	86.5
Eersel	18	93.2	39	201.9
Eijsden-Margraten	43	167	97	376.7
Eindhoven	102	43.5	273	116.4
Elburg	11	47.5	51	220.2
Emmen	13	12.1	44	41.1
Enkhuizen	16	86.1	24	129.1
Enschede	43	26.9	125	78.3
Epe	14	42.2	62	186.8
Ermelo	15	55.5	59	218.5
Etten-Leur	35	79.8	97	221.1
Geertruidenberg	9	41.8	19	88.2
Geldrop-Mierlo	20	50.3	61	153.5
Gemert-Bakel	65	211.6	126	410.1
Gennep	14	82.7	37	218.6
Gilze en Rijen	16	60.5	47	177.8
Goeree-Overflakkee	43	85.9	199	397.6
Goes	9	23.6	38	99.8
Goirle	24	100.4	54	225.9
Gooise Meren	20	34.5	61	105.1
Gorinchem	14	37.8	95	256.7
Gouda	28	38.1	112	152.5
Grave	16	128.6	38	305.5
Groningen	14	6	122	52.4
Gulpen-Wittem	13	91.7	34	239.8
Haaksbergen	12	49.4	27	111.1
Haaren	15	104.4	29	201.8
Haarlem	49	30.1	201	123.3
Haarlemmermeer	49	31.4	142	91
Halderberge	9	29.7	37	122.2
Hardenberg	17	27.9	108	177.2
Harderwijk	13	26.8	54	111.5
Hardinxveld-Giessendam	1	5.5	22	120.3
Harlingen	2	12.7	10	63.6
Hattem	9	73.7	29	237.5
Heemskerk	20	51	63	160.8
Heemstede	8	29.4	76	279
Heerde	24	129.1	75	403.5
Heerenveen	11	21.8	48	95.1
Heerhugowaard	22	38.2	65	112.9
Heerlen	92	105.7	171	196.4
Heeze-Leende	8	49.5	37	229.1
Heiloo	9	37.5	28	116.8
Hellendoorn	7	19.5	39	108.6
Hellevoetsluis	11	27.4	40	99.6
Helmond	60	64.9	180	194.7
Hendrik-Ido-Ambacht	5	16	19	60.9
Hengelo	15	18.5	89	109.7
Het Hogeland	7	14.6	22	46
Heumen	15	91.2	38	231
Heusden	35	78.3	71	158.8
Hillegom	5	22.5	16	72
Hilvarenbeek	6	38.7	27	174
Hilversum	19	20.9	53	58.3
Hoeksche Waard	62	70.9	136	155.5
Hof van Twente	14	40	41	117.1
Hollands Kroon	26	53.7	43	88.8
Hoogeveen	10	18	34	61
Hoorn	22	30	47	64.2
Horst aan de Maas	38	89.6	69	162.6
Houten	17	33.9	73	145.6
Huizen	16	38.8	39	94.5
Hulst	7	25.4	21	76.2
IJsselstein	28	82.1	61	178.8
Kaag en Braassem	5	18.3	13	47.6
Kampen	47	86.5	173	318.4
Kapelle	1	7.9	13	102.4
Katwijk	17	25.9	65	98.9
Kerkrade	47	102.7	80	174.9
Koggenland	6	26.4	21	92.3
Krimpen aan den IJssel	6	20.3	33	111.7
Krimpenerwaard	37	65.7	85	150.9
Laarbeek	28	124.3	67	297.4
Landerd	28	178	84	534
Landgraaf	35	93.4	74	197.6
Landsmeer	3	26.1	17	147.9
Langedijk	15	53.3	30	106.5
Lansingerland	29	46.5	103	165.1
Laren	8	71	20	177.4
Leeuwarden	31	25	46	37.1
Leiden	29	23.2	81	64.7
Leiderdorp	8	29.6	15	55.4
Leidschendam-Voorburg	16	20.9	48	62.7
Lelystad	40	50.9	65	82.7
Leudal	51	142.1	103	286.9
Leusden	7	23	29	95.4
Lingewaard	23	49.3	51	109.4
Lisse	5	21.8	12	52.3
Lochem	6	17.8	32	94.9
Loon op Zand	20	85.4	39	166.6
Lopik	16	110.6	28	193.5
Loppersum	0	0	2	21
Losser	6	26.4	15	66.1
Maasdriel	14	55.9	20	79.9
Maasgouw	21	87.6	46	192
Maassluis	13	39.1	34	102.4
Maastricht	118	97.1	348	286.3
Medemblik	14	31	45	99.8
Meerssen	12	63.7	40	212.4
Meierijstad	165	203.2	360	443.4
Meppel	5	14.7	21	61.9
Middelburg	13	26.6	31	63.5
Midden-Delfland	3	15.5	11	56.9
Midden-Drenthe	6	18.1	16	48.2
Midden-Groningen	5	8.2	15	24.7
Mill en Sint Hubert	9	82.3	17	155.4
Moerdijk	9	24.2	36	96.9
Molenlanden	16	36.4	62	141.1
Montferland	6	16.7	25	69.4
Montfoort	12	86.2	29	208.3
Mook en Middelaar	4	51	17	216.6
Neder-Betuwe	30	123.2	56	230.1
Nederweert	25	146.9	37	217.4
Nieuwegein	29	45.7	59	93
Nieuwkoop	7	24.3	28	97.2
Nijkerk	20	46.3	38	88
Nijmegen	103	58	345	194.1
Nissewaard	31	36.4	85	99.7
Noardeast-Fryslân	5	11	14	30.9
Noord-Beveland	1	13.5	4	54.1
Noordenveld	2	6.4	9	28.8
Noordoostpolder	8	16.9	23	48.7
Noordwijk	12	27.6	26	59.7
Nuenen Gerwen en Nederwetten	12	51.3	23	98.4
Nunspeet	27	97	87	312.4
Oegstgeest	6	24.2	25	100.6
Oirschot	9	48.1	34	181.6
Oisterwijk	16	61	43	163.9
Oldambt	1	2.6	4	10.5
Oldebroek	19	80.4	66	279.1
Oldenzaal	14	44	35	110
Olst-Wijhe	9	49.3	27	147.9
Ommen	7	38.9	30	166.6
Oost Gelre	5	16.9	29	97.9
Oosterhout	34	60.7	70	125
Ooststellingwerf	1	3.9	2	7.9
Oostzaan	8	82.2	17	174.7
Opmeer	1	8.4	4	33.8
Opsterland	5	16.8	16	53.8
Oss	113	122.9	292	317.6
Oude IJsselstreek	7	17.8	27	68.5
Ouder-Amstel	4	28.5	19	135.4
Oudewater	20	195.6	39	381.4
Overbetuwe	48	100.2	83	173.2
Papendrecht	7	21.8	34	105.8
Peel en Maas	130	299.4	204	469.8
Pekela	4	32.8	4	32.8
Pijnacker-Nootdorp	17	30.7	47	84.9
Purmerend	54	66.5	123	151.4
Putten	3	12.4	14	58.1
Raalte	20	53	42	111.4
Reimerswaal	4	17.6	17	74.8
Renkum	14	44.6	35	111.5
Renswoude	4	73.4	9	165.2
Reusel-De Mierden	7	53.4	14	106.8
Rheden	29	66.3	50	114.3
Rhenen	3	14.9	12	59.6
Ridderkerk	29	62.8	63	136.4
Rijssen-Holten	20	52.4	66	172.9
Rijswijk	16	29.4	41	75.3
Roerdalen	24	116.7	35	170.1
Roermond	46	79	87	149.3
Roosendaal	17	22	96	124.3
Rotterdam	255	39.1	985	151.2
Rozendaal	1	58.7	2	117.3
Rucphen	6	26.2	28	122.4
s-Gravenhage	180	33	506	92.8
Schagen	14	30.1	50	107.6
Scherpenzeel	2	20.2	14	141.7
Schiedam	30	38.1	65	82.6
Schiermonnikoog	0	0	0	0
Schouwen-Duiveland	9	26.6	22	65
Simpelveld	16	151.6	26	246.4
