"Municipality","Cases","Hospitalization","Deaths","Cases.per.100k","Hospitalization.per.100k","Deaths.per.100k"
"s-Hertogenbosch",377,117,61,243,75.4,39.3
"Aa en Hunze",13,1,0,51.1,3.9,0
"Aalsmeer",36,8,2,113,25.1,6.3
"Aalten",46,4,3,169.6,14.8,11.1
"Achtkarspelen",8,0,0,28.7,0,0
"Alblasserdam",38,9,1,188.4,44.6,5
"Albrandswaard",75,9,6,293.1,35.2,23.4
"Alkmaar",202,50,21,184.6,45.7,19.2
"Almelo",83,20,5,113.6,27.4,6.8
"Almere",265,107,6,125.1,50.5,2.8
"Alphen aan den Rijn",144,55,18,128.7,49.2,16.1
"Alphen-Chaam",43,17,5,421,166.5,49
"Altena",106,30,11,189.4,53.6,19.6
"Ameland",0,0,0,0,0,0
"Amersfoort",150,54,18,95.4,34.3,11.4
"Amstelveen",267,51,31,291.2,55.6,33.8
"Amsterdam",1580,495,133,181,56.7,15.2
"Apeldoorn",292,50,32,178.2,30.5,19.5
"Appingedam",4,3,0,34.4,25.8,0
"Arnhem",219,57,19,135.7,35.3,11.8
"Assen",35,12,2,51,17.5,2.9
"Asten",63,14,8,376.5,83.7,47.8
"Baarle-Nassau",5,1,0,72.9,14.6,0
"Baarn",38,11,3,152.8,44.2,12.1
"Barendrecht",92,29,5,188.9,59.5,10.3
"Barneveld",95,17,6,160.8,28.8,10.2
"Beek",37,15,3,233.2,94.5,18.9
"Beekdaelen",117,43,19,325.2,119.5,52.8
"Beemster",8,4,1,79.8,39.9,10
"Beesel",40,20,8,296.7,148.3,59.3
"Berg en Dal",157,30,13,448.7,85.7,37.2
"Bergeijk",47,14,4,252.2,75.1,21.5
"Bergen (L.)",17,6,2,129.9,45.9,15.3
"Bergen (NH.)",49,16,3,164.2,53.6,10.1
"Bergen op Zoom",85,21,7,125.9,31.1,10.4
"Berkelland",58,6,3,132.6,13.7,6.9
"Bernheze",234,80,52,748.9,256,166.4
"Best",50,31,9,166.8,103.4,30
"Beuningen",51,19,4,197,73.4,15.4
"Beverwijk",68,15,6,163.4,36,14.4
"Bladel",50,17,7,245.2,83.4,34.3
"Blaricum",23,7,0,199.4,60.7,0
"Bloemendaal",41,6,3,173.9,25.5,12.7
"Bodegraven-Reeuwijk",35,7,2,100.4,20.1,5.7
"Boekel",85,32,21,788.2,296.7,194.7
"Borger-Odoorn",7,2,3,27.4,7.8,11.7
"Borne",43,13,6,184.4,55.8,25.7
"Borsele",21,5,0,92.4,22,0
"Boxmeer",95,18,16,323.4,61.3,54.5
"Boxtel",53,21,12,172.1,68.2,39
"Breda",405,140,53,219.8,76,28.8
"Brielle",26,11,0,150.4,63.7,0
"Bronckhorst",52,11,5,144.2,30.5,13.9
"Brummen",33,16,6,159,77.1,28.9
"Brunssum",70,34,11,251.6,122.2,39.5
