Municipality	Province
Aa en Hunze	Drenthe
Assen	Drenthe
Borger-Odoorn	Drenthe
Coevorden	Drenthe
Emmen	Drenthe
Hoogeveen	Drenthe
Meppel	Drenthe
Midden-Drenthe	Drenthe
Noordenveld	Drenthe
Tynaarlo	Drenthe
Westerveld	Drenthe
De Wolden	Drenthe
Almere	Flevoland
Dronten	Flevoland
Lelystad	Flevoland
Noordoostpolder	Flevoland
Urk	Flevoland
Zeewolde	Flevoland
Achtkarspelen	Friesland
Ameland	Friesland
Dantumadiel	Friesland
De Fryske Marren	Friesland
Harlingen	Friesland
Heerenveen	Friesland
Leeuwarden	Friesland
Noardeast-Fryslân	Friesland
Ooststellingwerf	Friesland
Opsterland	Friesland
Schiermonnikoog	Friesland
Smallingerland	Friesland
Súdwest-Fryslân	Friesland
Terschelling	Friesland
Tytsjerksteradiel	Friesland
Vlieland	Friesland
Waadhoeke	Friesland
Weststellingwerf	Friesland
Apeldoorn	Gelderland
Barneveld	Gelderland
Ede	Gelderland
Elburg	Gelderland
Epe	Gelderland
Ermelo	Gelderland
Harderwijk	Gelderland
Hattem	Gelderland
Heerde	Gelderland
Nijkerk	Gelderland
Nunspeet	Gelderland
Oldebroek	Gelderland
Putten	Gelderland
Scherpenzeel	Gelderland
Voorst	Gelderland
Wageningen	Gelderland
Buren	Gelderland
Culemborg	Gelderland
Geldermalsen	Gelderland
Lingewaal	Gelderland
Maasdriel	Gelderland
Neder-Betuwe	Gelderland
Neerijnen	Gelderland
Tiel	Gelderland
West Maas en Waal	Gelderland
Zaltbommel	Gelderland
Aalten	Gelderland
Berkelland	Gelderland
Bronckhorst	Gelderland
Brummen	Gelderland
Doetinchem	Gelderland
Lochem	Gelderland
Montferland	Gelderland
Oost Gelre	Gelderland
Oude IJsselstreek	Gelderland
Winterswijk	Gelderland
Zutphen	Gelderland
Arnhem	Gelderland
Berg en Dal	Gelderland
Beuningen	Gelderland
Doesburg	Gelderland
Druten	Gelderland
Duiven	Gelderland
Heumen	Gelderland
Lingewaard	Gelderland
Nijmegen	Gelderland
Overbetuwe	Gelderland
Renkum	Gelderland
Rheden	Gelderland
Rijnwaarden	Gelderland
Rozendaal	Gelderland
Westervoort	Gelderland
Wijchen	Gelderland
Zevenaar	Gelderland
Appingedam	Groningen
Ten Boer	Groningen
Delfzijl	Groningen
Groningen	Groningen
Grootegast	Groningen
Haren	Groningen
Het Hogeland	Groningen
Leek	Groningen
Loppersum	Groningen
Marum	Groningen
Midden-Groningen	Groningen
Oldambt	Groningen
Pekela	Groningen
Stadskanaal	Groningen
Veendam	Groningen
Westerwolde	Groningen
Zuidhorn	Groningen
Beesel	Limburg
Bergen	Limburg
